Temperature,Humidity,Pressure,hour,Radiation
48,59,30.46,0,1.21
48,58,30.46,0,1.21
48,57,30.46,0,1.23
48,60,30.46,0,1.21
48,62,30.46,0,1.17
48,64,30.46,0,1.21
49,72,30.46,0,1.2
49,71,30.46,0,1.24
49,80,30.46,0,1.23
49,85,30.46,0,1.21
49,93,30.47,0,1.23
49,98,30.47,0,1.21
49,99,30.47,0,1.22
50,99,30.47,0,1.21
50,99,30.47,0,1.23
50,99,30.47,0,1.22
50,99,30.47,0,1.21
50,99,30.47,0,1.22
50,98,30.47,0,1.22
50,98,30.47,0,1.2
50,98,30.47,0,1.2
50,97,30.47,0,1.2
50,97,30.47,0,1.21
50,97,30.47,0,1.22
50,96,30.47,0,1.22
50,96,30.47,0,1.22
50,95,30.47,0,1.24
50,95,30.47,0,1.23
50,95,30.47,0,1.23
50,95,30.47,0,1.23
50,94,30.47,0,1.24
50,93,30.47,0,1.2
50,93,30.47,0,1.24
49,93,30.47,0,1.21
50,93,30.47,0,1.24
50,92,30.47,0,1.2
50,91,30.47,0,1.19
50,90,30.47,0,1.25
50,88,30.47,0,1.25
50,87,30.47,0,1.23
50,86,30.47,0,1.21
50,85,30.46,0,1.25
50,84,30.46,0,1.23
50,81,30.47,0,1.23
50,75,30.46,0,1.26
50,70,30.46,0,1.17
50,63,30.46,0,1.22
50,51,30.46,0,1.22
50,47,30.46,0,1.22
50,46,30.46,0,1.24
50,47,30.46,0,1.25
50,48,30.46,0,1.19
50,56,30.46,0,1.19
50,57,30.46,0,1.23
51,55,30.46,0,1.19
51,54,30.46,0,1.23
51,53,30.45,0,1.22
51,51,30.45,0,1.24
51,51,30.45,0,1.24
51,52,30.45,0,1.23
51,51,30.45,0,1.23
51,52,30.45,0,1.24
51,55,30.44,0,1.23
52,55,30.44,0,1.21
52,55,30.44,0,1.24
52,59,30.45,0,1.18
52,59,30.44,0,1.52
53,61,30.44,0,5.07
53,62,30.44,0,6.16
53,59,30.44,0,6.63
54,59,30.44,0,10.96
55,57,30.44,0,19.42
55,53,30.44,0,27.14
56,52,30.44,0,33.75
56,49,30.44,0,49.57
56,50,30.44,0,59.62
56,48,30.44,0,87.23
56,49,30.43,0,109.93
57,57,30.43,0,130.82
57,55,30.43,0,160.52
58,52,30.43,0,191.37
58,49,30.43,0,207.05
58,45,30.43,0,240.99
58,41,30.43,0,274.83
58,55,30.43,0,300.94
58,56,30.43,0,322.71
58,50,30.43,0,346.59
58,49,30.43,0,364.18
